NSE/EXCELINFO,Excel Infoways Limited
NSE/BERGEPAINT,Berger Paints (I) Limited
NSE/BEML,BEML Limited
NSE/BFUTILITIE,BF Utilities Limited
NSE/BHARATGEAR,Bharat Gears Limited
NSE/BHARTIARTL,Bharti Airtel Limited
NSE/BHEL,Bharat Heavy Electricals Limited
NSE/BHARATIDIL,Bharati Defence and Infrastructure Limited
NSE/BHARATRAS,Bharat Rasayan Limited
NSE/BHUSANSTL,Bhushan Steel Limited
NSE/BIL,Bhartiya International Limited
NSE/BIOCON,Biocon Limited
NSE/BLISSGVS,Bliss GVS Pharma Limited
NSE/CADILAHC,Cadila Healthcare Limited
NSE/BLUECOAST,Blue Coast Hotels Limited
NSE/BPCL,Bharat Petroleum Corporation Limited
NSE/BLBLIMITED,BLB Limited
NSE/BOMDYEING,Bombay Dyeing & Mfg Company Limited
NSE/BLUEDART,Blue Dart Express Limited
NSE/BRITANNIA,Britannia Industries Limited
NSE/BRFL,Bombay Rayon Fashions Limited
NSE/BSLIMITED,BS LIMITED
NSE/BSLGOLDETF,Birla Sun Life Mutual Fund - Birla Sun Life Gold ETF - Growth
NSE/BSELINFRA,BSEL Infrastructure Realty Limited
NSE/BSL,BSL Limited
NSE/BINDALAGRO,Oswal Chemicals & Fertilizers Limited
NSE/BVCL,Barak Valley Cements Limited
NSE/BLKASHYAP,B. L. Kashyap and Sons Limited
NSE/BYKE,The Byke Hospitality Ltd
NSE/CANDC,C & C Constructions Limited
NSE/CESC,CESC Limited
NSE/CANFINHOME,Can Fin Homes Limited
NSE/BODALCHEM,Bodal Chemicals Limited
NSE/CARERATING,Credit Analysis And Research Limited
NSE/CCHHL,Country Club Hospitality & Holidays Limited
NSE/CROMPTON,Crompton Greaves Consumer Electricals Limited
NSE/CASTEXTECH,Castex Technologies Limited
NSE/CAPLIPOINT,Caplin Point Laboratories Limited
NSE/CIPLA,Cipla Limited
NSE/CCL,CCL Products (India) Limited
NSE/COALINDIA,Coal India Limited
NSE/CENTENKA,Century Enka Limited
NSE/CENTRALBK,Central Bank of India
NSE/CENTURYTEX,Century Textiles & Industries Limited
NSE/CELESTIAL,Celestial Biolabs Limited
NSE/CERA,Cera Sanitaryware Limited
NSE/CEREBRAINT,Cerebra Integrated Technologies Limited
NSE/CAREERP,Career Point Limited
NSE/CNOVAPETRO,CIL Nova Petrochemicals Limited
NSE/COMPUSOFT,Compucom Software Limited
NSE/CENTEXT,Century Extrusions Limited
NSE/CONSOFINVT,Consolidated Finvest & Holdings Limited
NSE/CORPBANK,Corporation Bank
NSE/CHAMBLFERT,Chambal Fertilizers & Chemicals Limited
NSE/CONCOR,Container Corporation of India Limited
NSE/COROMANDEL,Coromandel International Limited
NSE/DBL,Dilip Buildcon Limited
NSE/COSMOFILMS,Cosmo Films Limited
NSE/CORDSCABLE,Cords Cable Industries Limited
NSE/COUNCODOS,Country Condo's Limited
NSE/CHROMATIC,Chromatic India Limited
NSE/CREST,Crest Ventures Limited
NSE/CRISIL,CRISIL Limited
NSE/CHOLAFIN,Cholamandalam Investment and Finance Company Limited
NSE/CUMMINSIND,Cummins India Limited
NSE/CTE,Cambridge Technology Enterprises Limited
NSE/CYBERTECH,Cybertech Systems And Software Limited
NSE/CUB,City Union Bank Limited
NSE/CINEVISTA,Cinevista Limited
NSE/CYIENT,Cyient Limited
NSE/DALMIASUG,Dalmia Bharat Sugar and Industries Limited
NSE/DBCORP,D.B.Corp Limited
NSE/EKC,Everest Kanto Cylinder Limited
NSE/DALMIABHA,Dalmia Bharat Limited
NSE/DATAMATICS,Datamatics Global Services Limited
NSE/DBSTOCKBRO,DB (International) Stock Brokers Limited
NSE/DBREALTY,D B Realty Limited
NSE/DCM,DCM Limited
NSE/DEEPAKNTR,Deepak Nitrite Limited
NSE/DQE,DQ Entertainment (International) Limited
NSE/DEEPAKFERT,Deepak Fertilizers and Petrochemicals Corporation Limited
NSE/DEEPIND,Deep Industries Limited
NSE/DECCANCE,Deccan Cements Limited
NSE/DEN,Den Networks Limited
NSE/DHANBANK,Dhanlaxmi Bank Limited
NSE/DHANUKA,Dhanuka Agritech Limited
NSE/ECEIND,ECE Industries Limited
NSE/DENORA,De Nora India Limited
NSE/DHAMPURSUG,Dhampur Sugar Mills Limited
NSE/DHUNINV,Dhunseri Investments Limited
NSE/DISHTV,Dish TV India Limited
NSE/DLF,DLF Limited
NSE/DICIND,DIC India Limited
NSE/DOLPHINOFF,Dolphin Offshore Enterprises (India) Limited
NSE/DLINKINDIA,D-Link (India) Limited
NSE/DENABANK,Dena Bank
NSE/DHFL,Dewan Housing Finance Corporation Limited
NSE/DPSCLTD,DPSC Limited
NSE/DPL,Dhunseri Petrochem Limited
NSE/DSKULKARNI,DS Kulkarni Developers Limited
NSE/DWARKESH,Dwarikesh Sugar Industries Limited
NSE/DTIL,Dhunseri Tea & Industries Limited
NSE/DRREDDY,Dr. Reddy's Laboratories Limited
NSE/ENIL,Entertainment Network (India) Limited
NSE/DREDGECORP,Dredging Corporation of India Limited
NSE/ENERGYDEV,Energy Development Company Limited
NSE/DISHMAN,Dishman Pharmaceuticals and Chemicals Limited
NSE/FEDDERLOYD,Fedders Lloyd Corporation Limited
NSE/EASUNREYRL,Easun Reyrolle Limited
NSE/DYNAMATECH,Dynamatic Technologies Limited
NSE/EDL,Empee Distilleries Limited
NSE/ECLERX,eClerx Services Limited
NSE/EICHERMOT,Eicher Motors Limited
NSE/EDUCOMP,Educomp Solutions Limited
NSE/EIDPARRY,EID Parry India Limited
NSE/EIHAHOTELS,EIH Associated Hotels Limited
NSE/ELAND,E-Land Apparel Limited
NSE/ELECON,Elecon Engineering Company Limited
NSE/EXCELCROP,Excel Crop Care Limited
NSE/ELGIEQUIP,Elgi Equipments Limited
NSE/ELECTHERM,Electrotherm (India) Limited
NSE/ELGIRUBCO,Elgi Rubber Company Limited
NSE/EMKAY,Emkay Global Financial Services Limited
NSE/EMAMIINFRA,Emami Infrastructure Limited
NSE/EMCO,Emco Limited
NSE/EMMBI,Emmbi Industries Limited
NSE/ESL,Electrosteel Steels Limited
NSE/EVEREADY,Eveready Industries India Limited
NSE/ESCORTS,Escorts Limited
NSE/ESSELPACK,Essel Propack Limited
NSE/EUROCERA,Euro Ceramics Limited
NSE/EVERESTIND,Everest Industries Limited
NSE/EUROTEXIND,Eurotex Industries and Exports Limited
NSE/GETD,GE T&D India Limited
NSE/ESSARSHPNG,Essar Shipping Limited
NSE/FACT,Fertilizers and Chemicals Travancore Limited
NSE/EVERONN,Everonn Education Limited
NSE/EXIDEIND,Exide Industries Limited
NSE/FAGBEARING,FAG Bearings India Limited
NSE/FEDERALBNK,The Federal Bank Limited
NSE/FDC,FDC Limited
NSE/FCEL,Future Consumer Enterprise Limited
NSE/FCSSOFT,FCS Software Solutions Limited
NSE/FLEXITUFF,Flexituff International Limited
NSE/FMNL,Future Market Networks Limited
NSE/FOSECOIND,Foseco India Limited
NSE/FINPIPE,Finolex Industries Limited
NSE/GENUSPOWER,Genus Power Infrastructures Limited
NSE/FMGOETZE,Federal-Mogul Goetze (India) Limited.
NSE/GEOMETRIC,Geometric Limited
NSE/FSL,Firstsource Solutions Limited
NSE/GABRIEL,Gabriel India Limited
NSE/GAIL,GAIL (India) Limited
NSE/GALLISPAT,Gallantt Ispat Limited
NSE/GAMMNINFRA,Gammon Infrastructure Projects Limited
NSE/GANDHITUBE,Gandhi Special Tubes Limited
NSE/GALLANTT,Gallantt Metal Limited
NSE/GANECOS,Ganesha Ecosphere Limited
NSE/GANESHHOUC,Ganesh Housing Corporation Limited
NSE/FIEMIND,Fiem Industries Limited
NSE/GAYAPROJ,Gayatri Projects Limited
NSE/GARDENSILK,Garden Silk Mills Limited
NSE/FORTIS,Fortis Healthcare Limited
NSE/GARWALLROP,Garware Wall Ropes Limited
NSE/GEECEE,GeeCee Ventures Limited
NSE/GENUSPAPER,Genus Paper & Boards Limited
NSE/GRAVITA,Gravita India Limited
NSE/GENESYS,Genesys International Corporation Limited
NSE/GAEL,Gujarat Ambuja Exports Limited
NSE/GESHIP,The Great Eastern Shipping Company Limited
NSE/GHCL,GHCL Limited
NSE/GICHSGFIN,GIC Housing Finance Limited
NSE/GILLANDERS,Gillanders Arbuthnot & Company Limited
NSE/GOLDIWIN,ICICI Prudential Gold Exchange Traded Fund
NSE/GINNIFILA,Ginni Filaments Limited
NSE/GILLETTE,Gillette India Limited
NSE/GLENMARK,Glenmark Pharmaceuticals Limited
NSE/GKWLIMITED,GKW Limited
NSE/GUJALKALI,Gujarat Alkalies and Chemicals Limited
NSE/GIPCL,Gujarat Industries Power Company Limited
NSE/GLAXO,GlaxoSmithKline Pharmaceuticals Limited
NSE/GITANJALI,Gitanjali Gems Limited
NSE/GLOBALVECT,Global Vectra Helicorp Limited
NSE/GMDCLTD,Gujarat Mineral Development Corporation Limited
NSE/GMBREW,GM Breweries Limited
NSE/GODFRYPHLP,Godfrey Phillips India Limited
NSE/GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited
NSE/GLOBUSSPR,Globus Spirits Limited
NSE/GODREJCP,Godrej Consumer Products Limited
NSE/GODREJIND,Godrej Industries Limited
NSE/GOKUL,Gokul Refoils and Solvent Limited
NSE/GOLDIAM,Goldiam International Limited
NSE/GOLDINFRA,Goldstone Infratech Limited
NSE/GOLDENTOBC,Golden Tobacco Limited
NSE/GOLDBEES,Goldman Sachs Gold Exchange Traded Scheme
NSE/GOLDSHARE,UTI Mutual Fund - UTI Gold Exchange Traded Fund
NSE/GPIL,Godawari Power And Ispat limited
NSE/GRANULES,Granules India Limited
NSE/GPTINFRA,GPT Infraprojects Limited
NSE/HERCULES,Hercules Hoists Limited
NSE/GOLDTECH,Goldstone Technologies Limited
NSE/GUJNREDVR,Gujarat NRE Coke Limited
NSE/GPPL,Gujarat Pipavav Port Limited
NSE/GRASIM,Grasim Industries Limited
NSE/GREENPOWER,Orient Green Power Company Limited
NSE/GRUH,Gruh Finance Limited
NSE/GRPLTD,GRP Limited
NSE/GRINDWELL,Grindwell Norton Limited
NSE/GSFC,Gujarat State Fertilizers & Chemicals Limited
NSE/HCG,Healthcare Global Enterprises Limited
NSE/GREENPLY,Greenply Industries Limited
NSE/GTLINFRA,GTL Infrastructure Limited
NSE/GTNIND,GTN Industries Limited
NSE/HDFCNIFETF,HDFCAMC - HDFCNIFETF
NSE/GTOFFSHORE,GOL Offshore Limited
NSE/GTNTEX,GTN Textiles Limited
NSE/FTCSF5YGRO,Franklin Templeton Mutual Fund-Capital Safety Fund-5Y (Growth Option)
NSE/GUFICBIO,Gufic Biosciences Limited
NSE/GUJAPOLLO,Gujarat Apollo Industries Limited
NSE/GULPOLY,Gulshan Polyols Limited
NSE/GUJFLUORO,Gujarat Fluorochemicals Limited
NSE/GVKPIL,GVK Power & Infrastructure Limited
NSE/GUJNRECOKE,Gujarat NRE Coke Limited
NSE/HATHWAY,Hathway Cable & Datacom Limited
NSE/HIL,HIL Limited
NSE/HARITASEAT,Harita Seating Systems Limited
NSE/HIKAL,Hikal Limited
NSE/HARRMALAYA,Harrisons Malayalam Limited
NSE/HAVELLS,Havells India Limited
NSE/HINDCOMPOS,Hindustan Composites Limited
NSE/HUBTOWN,Hubtown Limited
NSE/HDFCMFGETF,HDFC Mutual Fund-HDFC Gold Exchange Traded Fund
NSE/HBLPOWER,HBL Power Systems Limited
NSE/HCLTECH,HCL Technologies Limited
NSE/HDFCBANK,HDFC Bank Limited
NSE/HDIL,Housing Development and Infrastructure Limited
NSE/HEG,HEG Limited
NSE/HDFC,Housing Development Finance Corporation Limited
NSE/HEROMOTOCO,Hero MotoCorp Limited
NSE/HFCL,Himachal Futuristic Communications Limited
NSE/HEXAWARE,Hexaware Technologies Limited
NSE/HEIDELBERG,HeidelbergCement India Limited
NSE/HESTERBIO,Hester Biosciences Limited
NSE/HILTON,Hilton Metal Forging Limited
NSE/HIMATSEIDE,Himatsingka Seide Limited
NSE/HINDDORROL,Hindustan Dorr-Oliver Limited
NSE/HINDPETRO,Hindustan Petroleum Corporation Limited
NSE/HINDUJAFO,Hinduja Foundries Limited
NSE/HINDSYNTEX,Hind Syntex Limited
NSE/HINDUNILVR,Hindustan Unilever Limited
NSE/HIRECT,Hind Rectifiers Limited
NSE/HITECHGEAR,The Hi-Tech Gears Limited
NSE/HNGSNGBEES,Goldman Sachs Hang Seng Exchange Traded Scheme
NSE/HINDZINC,Hindustan Zinc Limited
NSE/HONAUT,Honeywell Automation India Limited
NSE/HOCL,Hindustan Organic Chemicals Limited
NSE/HITECHPLAS,Hitech Plast Limited
NSE/HPL,HPL Electric & Power Limited
NSE/HOTELRUGBY,Hotel Rugby Limited
NSE/HOTELEELA,Hotel Leela Venture Limited
NSE/HSIL,HSIL Limited
NSE/HONDAPOWER,Honda Siel Power Products Limited
NSE/HOVS,HOV Services Limited
NSE/ICIL,Indo Count Industries Limited
NSE/IDBI,IDBI Bank Limited
NSE/ICRA,ICRA Limited
NSE/IBWSL,Indiabulls Wholesale Services Limited
NSE/IGARASHI,Igarashi Motors India Limited
NSE/IGL,Indraprastha Gas Limited
NSE/IFBAGRO,IFB Agro Industries Limited
NSE/ILFSENGG,IL&FS Engineering and Construction Company Limited
NSE/IITL,Industrial Investment Trust Limited
NSE/IGPL,IG Petrochemicals Limited
NSE/IFGLREFRAC,IFGL Refractories Limited
NSE/IVZINNIFTY,Invesco India Nifty Exchange Traded Fund
NSE/IMFA,Indian Metals & Ferro Alloys Limited
NSE/INDIAGLYCO,India Glycols Limited
NSE/INDNIPPON,India Nippon Electricals Limited
NSE/INDIANB,Indian Bank
NSE/INDLMETER,IMP Powers Limited
NSE/INDORAMA,Indo Rama Synthetics (India) Limited
NSE/INDOCO,Indoco Remedies Limited
NSE/INDIANHUME,Indian Hume Pipe Company Limited
NSE/INDOSOLAR,Indosolar Limited
NSE/INDRAMEDCO,Indraprastha Medical Corporation Limited
NSE/INDSWFTLTD,Ind-Swift Limited
NSE/INDOTECH,Indo Tech Transformers Limited
NSE/INDTERRAIN,Indian Terrain Fashions Limited
NSE/INDSWFTLAB,Ind-Swift Laboratories Limited
NSE/INDUSINDBK,IndusInd Bank Limited
NSE/INFOMEDIA,INFOMEDIA PRESS LIMITED
NSE/INFINITE,Infinite Computer Solutions (India) Limited
NSE/INOXLEISUR,INOX Leisure Limited
NSE/INFY,Infosys Limited
NSE/IOLCP,IOL Chemicals and Pharmaceuticals Limited
NSE/IPAPPM,International Paper APPM Limited
NSE/ISFT,Intrasoft Technologies Limited
NSE/IOB,Indian Overseas Bank
NSE/IOC,Indian Oil Corporation Limited
NSE/IRB,IRB Infrastructure Developers Limited
NSE/IVRCLINFRA,IVRCL Limited
NSE/ITI,ITI Limited
NSE/IVP,IVP Limited
NSE/IVC,IL&FS Investment Managers Limited
NSE/JAGRAN,Jagran Prakashan Limited
NSE/JAIBALAJI,Jai Balaji Industries Limited
NSE/JAGSNPHARM,Jagsonpal Pharmaceuticals Limited
NSE/IPCALAB,IPCA Laboratories Limited
NSE/JAYAGROGN,Jayant Agro Organics Limited
NSE/ITDCEM,ITD Cementation India Limited
NSE/JBMA,JBM Auto Limited
NSE/JAYSREETEA,Jayshree Tea & Industries Limited
NSE/JCHAC,Johnson Controls Hitachi Air Conditioning India Limited
NSE/JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited
NSE/JETAIRWAYS,Jet Airways (India) Limited
NSE/JAMNAAUTO,Jamna Auto Industries Limited
NSE/JINDALPHOT,Jindal Photo Limited
NSE/JISLJALEQS,Jain Irrigation Systems Limited
NSE/JISLDVREQS,Jain Irrigation Systems Limited
NSE/JINDCOT,Jindal Cotex Limited
NSE/JINDWORLD,Jindal Worldwide Limited
NSE/JINDRILL,Jindal Drilling And Industries Limited
NSE/JKIL,J.Kumar Infraprojects Limited
NSE/JKLAKSHMI,JK Lakshmi Cement Limited
NSE/JKCEMENT,JK Cement Limited
NSE/JKBANK,The Jammu & Kashmir Bank Limited
NSE/JPINFRATEC,Jaypee Infratech Limited
NSE/JMFINANCIL,JM Financial Limited
NSE/JSL,Jindal Stainless Limited
NSE/JSWSTEEL,JSW Steel Limited
NSE/JPOLYINVST,Jindal Poly Investment and Finance Company Limited
NSE/JPPOWER,Jaiprakash Power Ventures Limited
NSE/JSWHL,JSW Holdings Limited
NSE/JSWENERGY,JSW Energy Limited
NSE/JUBLINDS,Jubilant Industries Limited
NSE/JUNIORBEES,Goldman Sachs Nifty Junior Exchange Traded Scheme
NSE/JYOTHYLAB,Jyothy Laboratories Limited
NSE/KABRAEXTRU,Kabra Extrusion Technik Limited
NSE/JUSTDIAL,Just Dial Limited
NSE/KALPATPOWR,Kalpataru Power Transmission Limited
NSE/KAKATCEM,Kakatiya Cement Sugar & Industries Limited
NSE/KALINDEE,Kalindee Rail Nirman (Engineers) Limited
NSE/KAJARIACER,Kajaria Ceramics Limited
NSE/KANSAINER,Kansai Nerolac Paints Limited
NSE/KARMAENG,Karma Energy Limited
NSE/KANANIIND,Kanani Industries Limited
NSE/KANORICHEM,Kanoria Chemicals & Industries Limited
NSE/KCP,KCP Limited
NSE/KAYA,Kaya Limited
NSE/KCPSUGIND,KCP Sugar and Industries Corporation Limited
NSE/JUBILANT,Jubilant Life Sciences Limited
NSE/JYOTISTRUC,Jyoti Structures Limited
NSE/KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited
NSE/KECL,Kirloskar Electric Company Limited
NSE/KOTAKNV20,KOTAKMAMC - KTKNV20ETF
NSE/KEI,KEI Industries Limited
NSE/KEC,KEC International Limited
NSE/KESARENT,Kesar Enterprises Limited
NSE/KILITCH,Kilitch Drugs (India) Limited
NSE/KICL,Kalyani Investment Company Limited
NSE/KHAITANELE,Khaitan Electricals Limited
NSE/KGL,Karuturi Global Limited
NSE/KOHINOOR,Kohinoor Foods Limited
NSE/KOLTEPATIL,Kolte - Patil Developers Limited
NSE/KMSUGAR,K.M.Sugar Mills Limited
NSE/KOTAKGOLD,Kotak Mutual Fund - Gold Exchange Traded Fund
NSE/KOTAKBKETF,Kotak Mahindra MF - Kotak Banking ETF - Dividend Payout Option
NSE/KOTAKBANK,Kotak Mahindra Bank Limited
NSE/KOTAKNIFTY,Kotak Mahindra Mutual Fund-Kotak Nifty ETF
NSE/KOTAKPSUBK,Kotak Mahindra Mutual Fund
NSE/KSERASERA,KSS Limited
NSE/LAKPRE,Lakshmi Precision Screws Limited
NSE/KSK,KSK Energy Ventures Limited
NSE/KRBL,KRBL Limited
NSE/KSCL,Kaveri Seed Company Limited
NSE/KTKBANK,The Karnataka Bank Limited
NSE/LAOPALA,La Opala RG Limited
NSE/KWALITY,kwality limited
NSE/KOPRAN,Kopran Limited
NSE/LAXMIMACH,Lakshmi Machine Works Limited
NSE/LCCINFOTEC,LCC Infotech Limited
NSE/LAKSHMIEFL,Lakshmi Energy and Foods Limited
NSE/LAKSHVILAS,Lakshmi Vilas Bank Limited
NSE/LICNETFGSC,LIC NOMURA MF - LIC NOMURA MF G-sec LT ETF - GO
NSE/KOTHARIPET,Kothari Petrochemicals Limited
NSE/LGBBROSLTD,LG Balakrishnan & Bros Limited
NSE/LGBFORGE,LGB Forge Limited
NSE/LIQUIDBEES,Goldman Sachs Liquid Exchange Traded Scheme
NSE/LITL,Lanco Infratech Limited
NSE/LOTUSEYE,Lotus Eye Care Hospital Limited
NSE/LPDC,Landmark Property Development Company Limited
NSE/LOVABLE,Lovable Lingerie Limited
NSE/LLOYDELENG,Lloyd Electric & Engineering Limited
NSE/LUMAXIND,Lumax Industries Limited
NSE/LT,Larsen & Toubro Limited
NSE/LUPIN,Lupin Limited
NSE/MADHAV,Madhav Marbles and Granites Limited
NSE/LUXIND,Lux Industries Limited
NSE/MAGMA,Magma Fincorp Limited
NSE/M50,Motilal Oswal Mutual Fund - Motilal Oswal MOSt Shares M50 ETF
NSE/MAANALU,Maan Aluminium Limited
NSE/LTI,Larsen & Toubro Infotech Limited
NSE/LML,LML Limited
NSE/M100,Motilal Oswal Mutual Fund - Motilal Oswal MOSt Shares M100 ETF GO
NSE/MAGNUM,Magnum Ventures Limited
NSE/MAHSCOOTER,Maharashtra Scooters Limited
NSE/MAHSEAMLES,Maharashtra Seamless Limited
NSE/MANAKCOAT,Manaksia Coated Metals & Industries Limited
NSE/MANAPPURAM,Manappuram Finance Limited
NSE/MANGALAM,Mangalam Drugs And Organics Limited
NSE/MANINFRA,Man Infraconstruction Limited
NSE/MANGCHEFER,Mangalore Chemicals & Fertilizers Limited
NSE/MANINDS,Man Industries (India) Limited
NSE/MAHASTEEL,Mahamaya Steel Industries Limited
NSE/MFSL,Max Financial Services Limited
NSE/MARALOVER,Maral Overseas Limited
NSE/MASTEK,Mastek Limited
NSE/MALUPAPER,Malu Paper Mills Limited
NSE/MBECL,Mcnally Bharat Engineering Company Limited
NSE/MAXWELL,Maxwell Industries Limited
NSE/MCDHOLDING,McDowell Holdings Limited
NSE/MCDOWELL_N,United Spirits Limited
NSE/MCX,Multi Commodity Exchange of India Limited
NSE/MCLEODRUSS,Mcleod Russel India Limited
NSE/MANGTIMBER,Mangalam Timber Products Limited
NSE/MEGASOFT,Megasoft Limited
NSE/MERCK,Merck Limited
NSE/MERCATOR,Mercator Limited
NSE/METKORE,Metkore Alloys & Industries Limited
NSE/MENONBE,Menon Bearings Limited
NSE/MINDACORP,Minda Corporation Limited
NSE/MINDTREE,MindTree Limited
NSE/MMFIN,Mahindra & Mahindra Financial Services Limited
NSE/MMTC,MMTC Limited
NSE/MIRZAINT,Mirza International Limited
NSE/MIRCELECTR,MIRC Electronics Limited
NSE/MMFL,MM Forgings Limited
NSE/PARAGMILK,Parag Milk Foods Limited
NSE/MM,Mahindra & Mahindra Limited
NSE/MOHITIND,Mohit Industries Limited
NSE/MONNETISPA,Monnet Ispat and Energy Limited
NSE/MOLDTKPAC,Mold-Tek Packaging Limited
NSE/MORARJEE,Morarjee Textiles Limited
NSE/MOSERBAER,Moser-Baer (I) Limited
NSE/MOREPENLAB,Morepen Laboratories Limited
NSE/MRF,MRF Limited
NSE/MRPL,Mangalore Refinery and Petrochemicals Limited
NSE/MTEDUCARE,MT Educare Limited
NSE/MPSLTD,MPS Limited
NSE/MTNL,Mahanagar Telephone Nigam Limited
NSE/MUKANDENGG,Mukand Engineers Limited
NSE/MUNJALAU,Munjal Auto Industries Limited
NSE/MUKANDLTD,Mukand Limited
NSE/MUTHOOTCAP,Muthoot Capital Services Limited
NSE/N100,Motilal Oswal Mutual Fund-Motilal Oswal MOSt Shares NASDAQ 100 ETF -GO
NSE/MURUDCERA,Murudeshwar Ceramics Limited
NSE/NAGREEKCAP,Nagreeka Capital & Infrastructure Limited
NSE/MYSOREBANK,State Bank of Mysore
NSE/NAHARCAP,Nahar Capital and Financial Services Limited
NSE/NAHARSPING,Nahar Spinning Mills Limited
NSE/MOTILALOFS,Motilal Oswal Financial Services Limited
NSE/NAHARINDUS,Nahar Industrial Enterprises Limited
NSE/NAUKRI,Info Edge (India) Limited
NSE/NAVINFLUOR,Navin Fluorine International Limited
NSE/NAKODA,Nakoda Limited
NSE/NBVENTURES,Nava Bharat Ventures Limited
NSE/NDGL,Naga Dhunseri Group Limited
NSE/NCC,NCC Limited
NSE/NDTV,New Delhi Television Limited
NSE/NELCAST,Nelcast Limited
NSE/NDL,Nandan Denim Limited
NSE/NEULANDLAB,Neuland Laboratories Limited
NSE/NETWORK18,Network18 Media & Investments Limited
NSE/NFL,National Fertilizers Limited
NSE/NESCO,Nesco Limited
NSE/NIBL,NRB Industrial Bearings Limited
NSE/NIITTECH,NIIT Technologies Limited
NSE/NILKAMAL,Nilkamal Limited
NSE/NIPPOBATRY,Indo-National Limited
NSE/NITINFIRE,Nitin Fire Protection Industries Limited
NSE/NITCO,Nitco Limited
NSE/NOIDATOLL,Noida Toll Bridge Company Limited
NSE/NITINSPIN,Nitin Spinners Limited
NSE/NTPC,NTPC Limited
NSE/NUCLEUS,Nucleus Software Exports Limited
NSE/OILCOUNTUB,Oil Country Tubular Limited
NSE/NUTEK,Nu Tek India Limited
NSE/OMKARCHEM,Omkar Speciality Chemicals Limited
NSE/OFSS,Oracle Financial Services Software Limited
NSE/OBEROIRLTY,Oberoi Realty Limited
NSE/OISL,OCL Iron and Steel Limited
NSE/OMAXAUTO,Omax Autos Limited
NSE/OMAXE,Omaxe Limited
NSE/ONGC,Oil & Natural Gas Corporation Limited
NSE/ONELIFECAP,Onelife Capital Advisors Limited
NSE/ORIENTBELL,Orient Bell Limited
NSE/ORICONENT,Oricon Enterprises Limited
NSE/ORIENTHOT,Oriental Hotels Limited
NSE/ORIENTREF,Orient Refractories Limited
NSE/ORIENTPPR,Orient Paper & Industries Limited
NSE/ORIENTALTL,Oriental Trimex Limited
NSE/ORIENTABRA,Orient Abrasives Limited
NSE/ORTEL,Ortel Communications Limited
NSE/PAGEIND,Page Industries Limited
NSE/PAEL,PAE Limited
NSE/ONWARDTEC,Onward Technologies Limited
NSE/PANACEABIO,Panacea Biotec Limited
NSE/PANORAMUNI,Panoramic Universal Limited
NSE/ORBITCORP,Orbit Corporation Limited
NSE/PARABDRUGS,Parabolic Drugs Limited
NSE/PATINTLOG,Patel Integrated Logistics Limited
NSE/PATELENG,Patel Engineering Limited
NSE/PATSPINLTD,Patspin India Limited
NSE/ORIENTLTD,Orient Press Limited
NSE/PBAINFRA,PBA Infrastructure Limited
NSE/PCJEWELLER,PC Jeweller Limited
NSE/PILITA,PIL ITALICA LIFESTYLE LIMITED
NSE/PDPL,Parenteral Drugs (India) Limited
NSE/PDUMJEPULP,Pudumjee Pulp & Paper Mills Limited
NSE/PENINLAND,Peninsula Land Limited
NSE/PERSISTENT,Persistent Systems Limited
NSE/PEL,Piramal Enterprises Limited
NSE/PETRONENGG,Petron Engineering Construction Limited
NSE/PENIND,Pennar Industries Limited
NSE/PGHH,Procter & Gamble Hygiene and Health Care Limited
NSE/PETRONET,Petronet LNG Limited
NSE/PFC,Power Finance Corporation Limited
NSE/PFS,PTC India Financial Services Limited
NSE/PHILIPCARB,Phillips Carbon Black Limited
NSE/PHOENIXLTD,The Phoenix Mills Limited
NSE/PFIZER,Pfizer Limited
NSE/PINCON,Pincon Spirit Limited
NSE/PIIND,PI Industries Limited
NSE/PHOENIXLL,Phoenix Lamps Limited
NSE/PGEL,PG Electroplast Limited
NSE/PIONDIST,Pioneer Distilleries Limited
NSE/PIDILITIND,Pidilite Industries Limited
NSE/PREMEXPLN,Premier Explosives Limited
NSE/PIRPHYTO,Piramal Phytocare Limited
NSE/PNC,Pritish Nandy Communications Limited
NSE/POLARIS,POLARIS CONSULTING & SERVICES LIMITED
NSE/POCHIRAJU,Pochiraju Industries Limited
NSE/PNBGILTS,PNB Gilts Limited
NSE/POLYPLEX,Polyplex Corporation Limited
NSE/POWERGRID,Power Grid Corporation of India Limited
NSE/POLYMED,Poly Medicure Limited
NSE/PRAKASHCON,Prakash Constrowell Limited
NSE/PRAKASHSTL,Prakash Steelage Limited
NSE/PRAENG,Prajay Engineers Syndicate Limited
NSE/PRECOT,Precot Meridian Limited
NSE/PRAKASH,Prakash Industries Limited
NSE/PREMIER,Premier Limited
NSE/PRESSMN,Pressman Advertising Limited
NSE/PRESTIGE,Prestige Estates Projects Limited
NSE/PRICOL,Pricol Limited
NSE/PROVOGE,Provogue (India) Limited
NSE/PROZONINTU,Prozone Intu Properties Limited
NSE/PTL,PTL Enterprises Limited
NSE/PUNJABCHEM,Punjab Chemicals & Crop Protection Limited
NSE/QGOLDHALF,Quantum Gold Fund -Exchange Traded Fund (ETF)
NSE/PURVA,Puravankara Projects Limited
NSE/PUNJLLOYD,Punj Lloyd Limited
